file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
3bd5f126-6143-4fd1-8fd6-96b2a7ada149	TCGA-BRCA.82a8cdff-ba8d-4eb6-ae65-4881a10abc7a.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445481	TCGA-E9-A5FL	TCGA-E9-A5FL-10A	Blood Derived Normal	Normal
ba6c1712-019d-4f02-ba88-029c40a307ef	DOUSE_p_TCGA_287_288_289_N_GenomeWideSNP_6_A01_1361092.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	35946	TCGA-E9-A5FL	TCGA-E9-A5FL-01A	Primary Tumor	Tumor
5069df37-9c08-4116-9dda-b215ffc9a011	CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A07_777720.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	3645	TCGA-E9-A1NI	TCGA-E9-A1NI-10A	Blood Derived Normal	Normal
c1f3f326-e99f-4811-9665-d15d6d8a1c33	8b0bdebf-7292-4b66-bcf2-fcb0a06c24e3.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4229758	TCGA-E9-A5FL	TCGA-E9-A5FL-01A	Primary Tumor	Tumor
85f04c93-8f21-40db-ac7a-e547a405cff2	DOUSE_p_TCGA_287_288_289_N_GenomeWideSNP_6_A05_1361106.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	3631	TCGA-E9-A5FL	TCGA-E9-A5FL-10A	Blood Derived Normal	Normal
0c50f47b-dd82-4987-9370-4d5370175faa	TCGA-E9-A1NI-01A-11D-A897-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	102312	TCGA-E9-A1NI	TCGA-E9-A1NI-01A	Primary Tumor	Tumor
0c50f47b-dd82-4987-9370-4d5370175faa	TCGA-E9-A1NI-01A-11D-A897-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	102312	TCGA-E9-A1NI	TCGA-E9-A1NI-10A	Blood Derived Normal	Normal
56a26df4-d9c1-4f43-bb44-8afd34eea927	95e77e5a-9963-4d65-935d-893a5dbe702e.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4232942	TCGA-E9-A1NI	TCGA-E9-A1NI-01A	Primary Tumor	Tumor
ff5f8ada-17c5-497e-9182-63a05e3ab4c5	64b12ba7-a481-4fdb-9c74-38c94c7ef3c9.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4234675	TCGA-OL-A5D6	TCGA-OL-A5D6-01A	Primary Tumor	Tumor
f2ac5078-6abc-4e01-80d1-a0d723fe91af	5a15392e-9a0b-4549-b1d6-754247536f2f.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50144	TCGA-AN-A03Y	TCGA-AN-A03Y-01A	Primary Tumor	Tumor
0377e1c5-db64-4fdc-a772-d427c75d8bea	DOUSE_p_TCGA_287_288_289_N_GenomeWideSNP_6_C02_1361042.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	29161	TCGA-OL-A5D6	TCGA-OL-A5D6-01A	Primary Tumor	Tumor
2e2a1326-de6e-4369-a858-e1c5f55b6ad9	HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	36013	TCGA-BH-A0C1	TCGA-BH-A0C1-10A	Blood Derived Normal	Normal
